user_id,mig_any_b5_a5
user_524a96be-1872-40fd-b6c5-38cee925bbe4,0.0
user_d3014050-9136-4af7-8b10-d3174e289818,0.0
user_8272870b-4002-4124-83e7-9c4b4b43bf60,0.0
user_cd8b523e-aeb5-4abe-a7e2-7bfc7252a974,0.0
user_26891909-1802-4c33-aae9-f2acc1566038,0.0
user_a6b0c64f-f7ab-4c83-9e94-30ffce42bd96,0.0
user_9a717151-51e4-467e-bb97-d203fbd427cf,0.0
user_63d50ff2-ca05-4fed-80b0-b1c8ceb3cb96,
user_3cd0a839-9b7a-4a3d-8463-1416d60de065,0.0
user_8763ab31-9003-47e4-85fe-b0905afba357,0.0
user_7edecaf5-ff4f-479b-868b-1ec35d21478a,0.0
user_8b179586-3b1f-4ce2-b2b9-a3fa54eba0dc,0.0
user_08d157ed-d196-4a9a-a76c-706b40418b04,0.0
user_9ad61eb9-75f9-4e6d-9fd7-42d49fce2643,0.0
user_3f86d28f-066c-4343-ba6d-ab3b87710b01,0.0
user_91e6fe49-cb6b-436a-8f1d-d1db28a6aeb3,0.0
user_1fbbe8f5-4fba-4a97-96c2-b50393bf0f86,0.0
user_2e130f5c-13fc-42f3-a54e-362b329c1d72,0.0
user_5bd3ed6d-c96b-460c-9391-6c722e76e800,0.0
user_b2b87da1-ac11-4412-b1c5-d8285f222287,0.0
user_499ba225-4b0c-42e3-8dc2-964ffa57f07f,0.0
user_1ee7daa8-fa37-44f8-aad8-1cd7dd7214c5,0.0
user_ebab83a5-f244-456d-b67b-c32ac7f2b4da,0.0
user_aad881d0-46c1-42da-9548-c5398800b45c,0.0
user_01146be0-2bd4-4749-bbda-59056c71e436,0.0
user_b96889d6-0e00-4e4a-9ebb-6d5f55c152d2,
user_bd49d196-a17a-406b-a10a-fa9ea9709978,0.0
user_fc61701b-bcd8-49a9-9083-7602999c84c6,0.0
user_b23823de-c4ba-4bf9-99af-1c2c6c198e85,
user_485f3750-fd3f-4aec-976a-8fb478ece4fe,0.0
user_a553d009-5972-407e-9847-a6342f5062de,0.0
user_ee4bcb0e-3727-4fd1-8a26-bff591ea18df,0.0
user_e5394408-2a9c-4764-9673-8fbe87754ae5,0.0
user_1b07d0bc-f413-49a0-b0ff-ba64e1e31b0a,0.0
user_54786fb2-990f-4a3b-ba0c-dce4e87a62bf,0.0
user_596c20c4-db95-432e-9756-cec0ad927967,0.0
user_76e52c2f-4e1a-4d61-b922-713058bb6b6c,0.0
user_ca91e485-36f6-4032-9a8b-f29c45bef427,0.0
user_05f91597-5193-459f-8acb-ba4e11cae61e,0.0
user_934469c6-002f-443f-91fe-f3c67d68e4ff,0.0
user_543fe07b-3652-4277-9073-d9ad88a4230b,0.0
user_4dc3fad4-2f26-492d-872c-15abdd436fc7,0.0
user_c1c82b61-7390-4e3c-8609-8ff3f3c98c5f,0.0
user_d1715318-35d2-4c72-b198-56227d8d3de1,0.0
user_780d6eee-3601-4bc6-bc01-8fff6edc3ae9,0.0
user_b3200b82-0774-4882-a1d7-02df88ba00f0,0.0
user_30945f7f-6ef6-45d6-88a1-bb8dad0bec4d,0.0
user_9e939eda-ae02-46de-bd99-e8273d078d68,
user_f05517aa-d53b-4a9a-8933-e03c35395b68,0.0
user_4b9d58b3-dd23-4e5e-96fd-a131dc0ab86d,0.0
user_7c63df6b-74fe-4bd9-8245-ed3b5f077252,0.0
user_b9ab9750-73f2-49c9-8526-13114ed7cbc7,0.0
user_acc7b568-d57f-47ce-aeab-6ab17c70f250,0.0
user_b4523d05-2f67-47f5-a7c8-a41019432428,0.0
user_e84683aa-a174-495c-b9a1-7b5f616d66ae,0.0
user_b1b6ac64-efd8-4a3a-b002-f5c7b2d16e6f,0.0
user_4693e6b1-90f7-437b-920f-271fc63d1ffb,0.0
user_0f0127bc-bbd2-46a8-b0f9-e303aa6e1e84,0.0
user_537e87ca-d5cf-4af6-81fc-00eddab09e5a,0.0
user_8b7281f8-703e-475f-bc47-890d723f378a,0.0
user_bcd566b2-d944-4478-9617-6a839bf6d0b1,0.0
user_747acce4-cf7f-4837-b0ed-369467660495,0.0
user_a5ba9b90-7e17-463c-abdd-03b4a9e5d4a5,0.0
user_66b097a1-3532-45fc-8592-bb98a652e54f,0.0
user_b3cb62a6-54e3-47cc-8746-d5c0a5060a1b,0.0
user_3946cae9-ab07-4201-81e5-53e010b745c9,0.0
user_547debbf-a5d3-4149-9f3f-80973018bce4,0.0
user_64f5caa0-1773-45a8-bd0a-0842183913fe,0.0
user_4fd33e84-5682-4aca-93e7-e31c0835d85a,0.0
user_a239de79-3905-4059-b7fb-389fde154b65,0.0
user_79132bfb-f0f3-494f-bb6c-9dea0291d43c,0.0
user_0afe511b-397b-4836-a7db-36bf2c05a5dc,0.0
user_40f0a8e1-0415-47f1-9691-90aba39c9d6e,0.0
user_cd542adc-2a10-4d0e-9a97-ef391b221a57,0.0
user_c86811af-a83b-49c3-b850-369625c9a0d4,0.0
user_c481d050-1845-45ab-bf3e-d9dce93e74ee,0.0
user_6e173029-ca7b-45f4-b6da-f5efce0925b3,0.0
user_e1a5b1ee-be9e-45e2-bf51-141f57954511,0.0
user_77ef2af8-8d61-4ab6-a6b1-b814da031618,0.0
user_aed549d5-25fa-418a-8350-d07a7abc6acb,0.0
user_7112742d-eb1d-4322-b761-83193f787988,0.0
user_c6f8cebc-0725-4a0c-9638-87a8c46be9c4,
user_3b84e9c5-609f-41b6-bdb0-572e021d6c72,0.0
user_10876b78-bb0f-4f85-9588-257a1f2e5ec7,0.0
user_57d688f2-94c3-468a-98bd-e0460adb7a0c,0.0
user_45885c88-c9d7-4991-b59a-3cfeb763a49d,0.0
user_d3bfe0d0-7087-42ea-8fdf-9c6547c077a3,0.0
user_15d614fd-bcc3-4409-843f-9a2f8e528d23,0.0
user_bdf82e4a-1c62-4bdd-b93d-1b254c544d34,0.0
user_f6a5c73a-93de-45f8-9afd-1e8300e6011a,0.0
